Station Name,Time Period,Avg Daily Entries
Southern Ave,AM Peak (Open-9:30am),0.3
Southern Ave,Midday (9:30am-3pm),0.5
Southern Ave,Late Night (12am-Close),0.0
Southern Ave,PM Peak (3pm-7pm),0.3
Spring Hill,AM Peak (Open-9:30am),0.0
Spring Hill,Midday (9:30am-3pm),0.2
Spring Hill,Evening (7pm-12am),0.1
Spring Hill,PM Peak (3pm-7pm),0.1
Spring Hill,Late Night (12am-Close),0.0
Stadium-Armory,PM Peak (3pm-7pm),0.3
Stadium-Armory,Midday (9:30am-3pm),0.5
Stadium-Armory,Evening (7pm-12am),0.2
Stadium-Armory,Late Night (12am-Close),0.0
Stadium-Armory,AM Peak (Open-9:30am),0.2
Suitland,PM Peak (3pm-7pm),0.2
Suitland,Late Night (12am-Close),0.0
Suitland,Midday (9:30am-3pm),0.4
Suitland,Evening (7pm-12am),0.1
Suitland,AM Peak (Open-9:30am),0.2
Takoma,Late Night (12am-Close),0.0
Takoma,AM Peak (Open-9:30am),0.2
Takoma,Midday (9:30am-3pm),0.8
Takoma,PM Peak (3pm-7pm),0.6
Takoma,Evening (7pm-12am),0.2
Tenleytown-AU,Midday (9:30am-3pm),1.0
Tenleytown-AU,Evening (7pm-12am),0.6
Tenleytown-AU,Late Night (12am-Close),0.0
Tenleytown-AU,AM Peak (Open-9:30am),0.1
Tenleytown-AU,PM Peak (3pm-7pm),1.0
Twinbrook,Evening (7pm-12am),0.2
Twinbrook,Late Night (12am-Close),0.0
Twinbrook,AM Peak (Open-9:30am),0.2
Twinbrook,Midday (9:30am-3pm),0.6
Twinbrook,PM Peak (3pm-7pm),0.4
Tysons,Evening (7pm-12am),0.7
Tysons,Late Night (12am-Close),0.0
Tysons,AM Peak (Open-9:30am),0.1
Tysons,PM Peak (3pm-7pm),1.0
Tysons,Midday (9:30am-3pm),0.5
U Street,PM Peak (3pm-7pm),1.6
U Street,Late Night (12am-Close),0.3
U Street,Midday (9:30am-3pm),1.4
U Street,AM Peak (Open-9:30am),0.2
U Street,Evening (7pm-12am),1.7
Union Station,PM Peak (3pm-7pm),3.1
Union Station,Midday (9:30am-3pm),3.2
Union Station,Evening (7pm-12am),1.8
Union Station,Late Night (12am-Close),0.0
Union Station,AM Peak (Open-9:30am),0.5
Van Dorn Street,Midday (9:30am-3pm),0.3
Van Dorn Street,Evening (7pm-12am),0.1
Van Dorn Street,Late Night (12am-Close),0.0
Van Dorn Street,PM Peak (3pm-7pm),0.2
Van Dorn Street,AM Peak (Open-9:30am),0.1
Van Ness-UDC,AM Peak (Open-9:30am),0.2
Van Ness-UDC,Evening (7pm-12am),0.4
Van Ness-UDC,Midday (9:30am-3pm),0.9
Van Ness-UDC,PM Peak (3pm-7pm),0.6
Van Ness-UDC,Late Night (12am-Close),0.0
Vienna,AM Peak (Open-9:30am),0.3
Vienna,Evening (7pm-12am),0.3
Vienna,PM Peak (3pm-7pm),0.7
Vienna,Late Night (12am-Close),0.0
Vienna,Midday (9:30am-3pm),1.3
Virginia Sq-GMU,PM Peak (3pm-7pm),0.7
Virginia Sq-GMU,Late Night (12am-Close),0.0
Virginia Sq-GMU,AM Peak (Open-9:30am),0.1
Virginia Sq-GMU,Midday (9:30am-3pm),0.7
Virginia Sq-GMU,Evening (7pm-12am),0.3
Waterfront,PM Peak (3pm-7pm),1.1
Waterfront,Late Night (12am-Close),0.1
Waterfront,AM Peak (Open-9:30am),0.2
Waterfront,Midday (9:30am-3pm),0.8
Waterfront,Evening (7pm-12am),1.5
West Falls Church,Late Night (12am-Close),0.0
West Falls Church,Evening (7pm-12am),0.1
West Falls Church,AM Peak (Open-9:30am),0.1
West Falls Church,Midday (9:30am-3pm),0.2
West Falls Church,PM Peak (3pm-7pm),0.2
West Hyattsville,Evening (7pm-12am),0.1
West Hyattsville,Late Night (12am-Close),0.0
West Hyattsville,Midday (9:30am-3pm),0.5
West Hyattsville,AM Peak (Open-9:30am),0.4
West Hyattsville,PM Peak (3pm-7pm),0.4
Wheaton,Evening (7pm-12am),0.2
Wheaton,Late Night (12am-Close),0.0
Wheaton,Midday (9:30am-3pm),0.4
Wheaton,PM Peak (3pm-7pm),0.4
Wheaton,AM Peak (Open-9:30am),0.2
Wiehle-Reston East,PM Peak (3pm-7pm),0.3
Wiehle-Reston East,Midday (9:30am-3pm),0.5
Wiehle-Reston East,AM Peak (Open-9:30am),0.1
Wiehle-Reston East,Late Night (12am-Close),0.0
Wiehle-Reston East,Evening (7pm-12am),0.1
Woodley Park,Midday (9:30am-3pm),1.0
Woodley Park,PM Peak (3pm-7pm),1.2
Woodley Park,AM Peak (Open-9:30am),0.1
Woodley Park,Evening (7pm-12am),0.5
Woodley Park,Late Night (12am-Close),0.0
