Station Name,Time Period,Avg Daily Entries
Loudoun Gateway,Evening (7pm-12am),0.0
Loudoun Gateway,Late Night (12am-Close),0.0
Loudoun Gateway,PM Peak (3pm-7pm),0.1
Loudoun Gateway,AM Peak (Open-9:30am),0.2
Loudoun Gateway,Midday (9:30am-3pm),0.1
McLean,AM Peak (Open-9:30am),0.4
McLean,Late Night (12am-Close),0.0
McLean,Midday (9:30am-3pm),0.4
McLean,Evening (7pm-12am),0.2
McLean,PM Peak (3pm-7pm),1.7
McPherson Sq,Late Night (12am-Close),0.0
McPherson Sq,Midday (9:30am-3pm),1.5
McPherson Sq,Evening (7pm-12am),1.0
McPherson Sq,AM Peak (Open-9:30am),1.4
McPherson Sq,PM Peak (3pm-7pm),4.6
Medical Center,Late Night (12am-Close),0.0
Medical Center,AM Peak (Open-9:30am),0.6
Medical Center,Midday (9:30am-3pm),0.6
Medical Center,PM Peak (3pm-7pm),2.1
Medical Center,Evening (7pm-12am),0.3
Metro Center,Evening (7pm-12am),2.4
Metro Center,AM Peak (Open-9:30am),1.0
Metro Center,Midday (9:30am-3pm),2.4
Metro Center,PM Peak (3pm-7pm),9.3
Metro Center,Late Night (12am-Close),0.0
Minnesota Ave,Midday (9:30am-3pm),0.5
Minnesota Ave,PM Peak (3pm-7pm),0.5
Minnesota Ave,AM Peak (Open-9:30am),0.8
Minnesota Ave,Late Night (12am-Close),0.0
Minnesota Ave,Evening (7pm-12am),0.2
Morgan Boulevard,PM Peak (3pm-7pm),0.2
Morgan Boulevard,Evening (7pm-12am),0.0
Morgan Boulevard,Midday (9:30am-3pm),0.2
Morgan Boulevard,Late Night (12am-Close),0.0
Morgan Boulevard,AM Peak (Open-9:30am),0.6
Mt Vernon Sq,Evening (7pm-12am),0.5
Mt Vernon Sq,Late Night (12am-Close),0.0
Mt Vernon Sq,AM Peak (Open-9:30am),0.9
Mt Vernon Sq,PM Peak (3pm-7pm),1.4
Mt Vernon Sq,Midday (9:30am-3pm),0.8
Navy Yard-Ballpark,Evening (7pm-12am),1.0
Navy Yard-Ballpark,AM Peak (Open-9:30am),2.1
Navy Yard-Ballpark,PM Peak (3pm-7pm),3.3
Navy Yard-Ballpark,Late Night (12am-Close),0.0
Navy Yard-Ballpark,Midday (9:30am-3pm),1.4
Naylor Road,AM Peak (Open-9:30am),0.9
Naylor Road,Evening (7pm-12am),0.1
