Station Name,Time Period,Avg Daily Entries
Reston Town Center,Evening (7pm-12am),0.1
Reston Town Center,Late Night (12am-Close),0.0
Reston Town Center,AM Peak (Open-9:30am),0.5
Reston Town Center,Midday (9:30am-3pm),0.2
Reston Town Center,PM Peak (3pm-7pm),0.4
Rhode Island Ave,PM Peak (3pm-7pm),1.0
Rhode Island Ave,Late Night (12am-Close),0.0
Rhode Island Ave,Evening (7pm-12am),0.5
Rhode Island Ave,AM Peak (Open-9:30am),2.0
Rhode Island Ave,Midday (9:30am-3pm),1.4
Rockville,PM Peak (3pm-7pm),0.6
Rockville,Late Night (12am-Close),0.0
Rockville,Midday (9:30am-3pm),0.7
Rockville,AM Peak (Open-9:30am),1.5
Rockville,Evening (7pm-12am),0.2
Ronald Reagan Washington National Airport,Late Night (12am-Close),0.0
Ronald Reagan Washington National Airport,PM Peak (3pm-7pm),1.9
Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),1.9
Ronald Reagan Washington National Airport,Evening (7pm-12am),1.6
Rosslyn,Late Night (12am-Close),0.0
Rosslyn,AM Peak (Open-9:30am),2.3
Rosslyn,Evening (7pm-12am),0.9
Rosslyn,Midday (9:30am-3pm),1.9
Rosslyn,PM Peak (3pm-7pm),3.7
Shady Grove,AM Peak (Open-9:30am),4.8
Shady Grove,PM Peak (3pm-7pm),0.9
Shady Grove,Late Night (12am-Close),0.0
Shady Grove,Midday (9:30am-3pm),1.4
Shady Grove,Evening (7pm-12am),0.2
Shaw-Howard U,Evening (7pm-12am),0.4
Shaw-Howard U,PM Peak (3pm-7pm),1.4
Shaw-Howard U,Late Night (12am-Close),0.0
Shaw-Howard U,Midday (9:30am-3pm),0.8
Shaw-Howard U,AM Peak (Open-9:30am),1.1
Smithsonian,Late Night (12am-Close),0.0
Smithsonian,AM Peak (Open-9:30am),0.2
Smithsonian,Midday (9:30am-3pm),1.7
Smithsonian,PM Peak (3pm-7pm),3.4
Smithsonian,Evening (7pm-12am),0.5
Southern Ave,AM Peak (Open-9:30am),1.9
Southern Ave,Midday (9:30am-3pm),0.7
Southern Ave,PM Peak (3pm-7pm),0.4
Southern Ave,Evening (7pm-12am),0.2
Southern Ave,Late Night (12am-Close),0.0
Spring Hill,Evening (7pm-12am),0.1
Spring Hill,AM Peak (Open-9:30am),0.3
Spring Hill,PM Peak (3pm-7pm),0.4
Spring Hill,Late Night (12am-Close),0.0
Spring Hill,Midday (9:30am-3pm),0.2
Stadium-Armory,Late Night (12am-Close),0.0
Stadium-Armory,Evening (7pm-12am),0.2
Stadium-Armory,PM Peak (3pm-7pm),0.6
Stadium-Armory,Midday (9:30am-3pm),0.6
Stadium-Armory,AM Peak (Open-9:30am),0.8
Suitland,Midday (9:30am-3pm),0.7
Suitland,Late Night (12am-Close),0.0
Suitland,PM Peak (3pm-7pm),0.4
Suitland,AM Peak (Open-9:30am),1.8
Suitland,Evening (7pm-12am),0.2
Takoma,Late Night (12am-Close),0.0
Takoma,AM Peak (Open-9:30am),0.0
Takoma,Midday (9:30am-3pm),0.0
Takoma,Evening (7pm-12am),0.0
Takoma,PM Peak (3pm-7pm),0.0
Tenleytown-AU,Midday (9:30am-3pm),0.9
Tenleytown-AU,PM Peak (3pm-7pm),1.7
Tenleytown-AU,Late Night (12am-Close),0.0
Tenleytown-AU,Evening (7pm-12am),0.4
Tenleytown-AU,AM Peak (Open-9:30am),1.3
Twinbrook,Midday (9:30am-3pm),0.8
Twinbrook,AM Peak (Open-9:30am),1.6
Twinbrook,PM Peak (3pm-7pm),0.7
Twinbrook,Late Night (12am-Close),0.0
Twinbrook,Evening (7pm-12am),0.2
Tysons,Late Night (12am-Close),0.0
Tysons,PM Peak (3pm-7pm),1.1
Tysons,Midday (9:30am-3pm),0.4
Tysons,AM Peak (Open-9:30am),0.4
Tysons,Evening (7pm-12am),0.5
U Street,AM Peak (Open-9:30am),1.6
U Street,PM Peak (3pm-7pm),1.4
U Street,Evening (7pm-12am),1.1
U Street,Late Night (12am-Close),0.0
U Street,Midday (9:30am-3pm),1.0
Union Station,Evening (7pm-12am),2.1
Union Station,Late Night (12am-Close),0.0
Union Station,AM Peak (Open-9:30am),5.6
Union Station,PM Peak (3pm-7pm),6.4
Union Station,Midday (9:30am-3pm),3.3
Van Dorn Street,Evening (7pm-12am),0.1
Van Dorn Street,AM Peak (Open-9:30am),1.0
Van Dorn Street,Late Night (12am-Close),0.0
Van Dorn Street,Midday (9:30am-3pm),0.4
Van Dorn Street,PM Peak (3pm-7pm),0.3
Van Ness-UDC,Evening (7pm-12am),0.2
Van Ness-UDC,Late Night (12am-Close),0.0
Van Ness-UDC,AM Peak (Open-9:30am),1.5
Van Ness-UDC,Midday (9:30am-3pm),0.9
Van Ness-UDC,PM Peak (3pm-7pm),0.9
Vienna,Evening (7pm-12am),0.2
Vienna,Midday (9:30am-3pm),1.0
Vienna,Late Night (12am-Close),0.0
Vienna,PM Peak (3pm-7pm),0.6
Vienna,AM Peak (Open-9:30am),2.9
Virginia Sq-GMU,PM Peak (3pm-7pm),0.6
Virginia Sq-GMU,Evening (7pm-12am),0.2
Virginia Sq-GMU,Late Night (12am-Close),0.0
Virginia Sq-GMU,Midday (9:30am-3pm),0.6
Virginia Sq-GMU,AM Peak (Open-9:30am),1.3
Waterfront,Late Night (12am-Close),0.0
Waterfront,Evening (7pm-12am),0.7
Waterfront,AM Peak (Open-9:30am),1.0
Waterfront,Midday (9:30am-3pm),0.9
Waterfront,PM Peak (3pm-7pm),1.2
West Falls Church,Evening (7pm-12am),0.1
West Falls Church,Late Night (12am-Close),0.0
West Falls Church,Midday (9:30am-3pm),0.4
West Falls Church,AM Peak (Open-9:30am),1.0
West Falls Church,PM Peak (3pm-7pm),0.2
West Hyattsville,Evening (7pm-12am),0.1
West Hyattsville,Late Night (12am-Close),0.0
West Hyattsville,Midday (9:30am-3pm),0.6
West Hyattsville,PM Peak (3pm-7pm),0.5
West Hyattsville,AM Peak (Open-9:30am),1.7
Wiehle-Reston East,PM Peak (3pm-7pm),0.4
Wiehle-Reston East,Midday (9:30am-3pm),0.4
Wiehle-Reston East,AM Peak (Open-9:30am),1.1
Wiehle-Reston East,Late Night (12am-Close),0.0
Wiehle-Reston East,Evening (7pm-12am),0.1
Woodley Park,Midday (9:30am-3pm),1.3
Woodley Park,PM Peak (3pm-7pm),1.0
Woodley Park,AM Peak (Open-9:30am),1.6
Woodley Park,Evening (7pm-12am),0.3
Woodley Park,Late Night (12am-Close),0.0
